Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
Bad Boys: Ride or Die,No,70200000,116.0,36300000,2024 H2,6.5,107190,"Action,Adventure,Comedy",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ballerina,Yes,56700000,94.0,36200000,2023 H2,7.8,18,"Biography,Documentary",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Despicable Me,No,57100000,95.0,36100000,2025 H1,7.6,619289,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
White Chicks,No,65400000,109.0,36000000,2024 H2,5.9,184801,"Comedy,Crime",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spellbound,Yes,65600000,110.0,35800000,2024 H2,3.6,15,"Adventure,Drama,Fantasy",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Chicken Run: Dawn of the Nugget,Yes,59800000,102.0,35200000,2023 H2,6.3,27970,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trouble,Yes,57200000,98.0,35000000,2024 H2,7.1,37,"Comedy,Short",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Players,Yes,61100000,105.0,34900000,2024 H1,6.7,87,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Croods: A New Age,No,54900000,95.0,34700000,2023 H2,6.9,58813,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAW Patrol: The Mighty Movie,No,50700000,88.0,34600000,2025 H1,5.9,6230,"Action,Adventure,Animation",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
